,dim 1,dim 2,dim 3,dim 4
463,0.7845544,-0.5435305,0.4397129,0.59285784
464,-0.5873861,1.1403607,-0.27077687,1.6665357
465,-0.47181618,-0.7751016,1.4962764,1.1434934
466,-0.5202472,1.4597487,-0.5390578,1.9639428
467,0.8056021,0.23895939,-0.2962056,0.8222306
468,0.5513488,-1.2595953,1.2914197,0.30381483
469,0.5352451,-0.15207872,0.2844672,1.1340472
470,0.64104724,-0.45236355,0.48787907,0.8458587
471,1.0274537,0.70527107,-0.8135884,0.8936453
472,1.2590616,0.41258967,-0.7551087,0.59383667
473,1.6567357,0.75767165,-1.3035033,0.56526524
474,1.8231813,1.3697615,-1.9803526,0.5723222
475,1.199327,-0.36875135,0.037749548,0.4376561
476,-0.43382156,-0.26251516,1.0523683,1.7059098
477,0.49982095,0.22155915,-0.012563468,1.2888173
478,1.7481033,0.6350611,-1.2708614,0.42271608
479,0.02256196,0.5405233,-0.087193616,1.2385604
480,1.983744,0.7738428,-1.5622979,-0.05992666
481,0.12946302,0.3300866,0.02034619,0.95975614
482,0.8945472,-2.2081556,1.9272736,-0.8921486
483,1.8659282,-0.9574037,0.15639535,-0.36325437
484,-0.9567144,0.0064337924,1.1350187,1.995296
485,-0.5612047,-0.8649504,1.6921394,1.6031816
486,0.9492159,-1.0807284,0.8704872,0.09283607
487,0.65361243,-0.01835691,0.07092989,0.935035
488,0.95221233,0.65013695,-0.7258302,1.0408559
489,0.21699092,-0.36540014,0.67634135,1.2739857
490,1.5298239,-0.41035372,-0.14019236,0.17706446
491,0.7093249,0.1545004,-0.16904438,0.85565805
492,1.1118715,-0.66718113,0.32211196,0.34896398
493,1.2084072,0.31828946,-0.6683844,0.5196929
494,0.8262238,-0.7293235,0.6077863,0.3536303
495,0.9397096,-0.07265816,-0.105550304,0.7216111
496,1.6723853,-0.62046456,-0.11355062,-0.11234001
497,-1.2876455,0.109939605,1.2071338,1.9569881
498,1.0571572,-0.03027791,-0.26692516,0.46782118
499,0.28007936,-0.48030066,0.7620668,1.0439258
500,1.2286016,0.60261697,-0.87272,0.7813722
501,0.9424911,-0.111133836,-0.03939557,0.9492986
502,0.19359307,-0.42574966,0.7922004,1.3791028
503,1.0498999,-0.84790593,0.58727187,0.4856614
504,0.863947,-0.94411516,0.7829686,0.58309174
505,-0.53777593,0.008257929,0.88882214,1.9835215
506,1.5787715,-0.22140972,-0.35479173,0.19275184
507,0.5708599,-0.39001328,0.4206487,0.7889104
508,1.6177377,-0.31504595,-0.25176913,-0.056919187
509,-0.47973973,-0.36085904,1.1263783,1.5020808
510,0.8769676,1.3127384,-1.37483,0.8043288
511,1.1093085,-0.32044858,-0.012403348,0.17731719
512,0.9825629,0.8312613,-0.8675722,1.2590661
