,Cluster_1,Cluster_1,Cluster_2,Cluster_2,Cluster_3,Cluster_3,Cluster_4,Cluster_4,Cluster_5,Cluster_5,all_patnos,all_patnos
105,Protein_RMDN1,0.29411891528069445,Protein_TNFRSF25,-0.3411958668835995,Protein_SERPING1.1,-0.2907222418167308,Protein_HBQ1,-0.3626390061617806,Protein_SERPINE2,0.4135596541718898,Protein_CXCL16,11.22291368991935
106,Protein_ABHD14A,0.29332452230156436,Protein_CRYZL1,0.34064580873993044,Protein_JAML.1,-0.29016996877350465,Protein_MDH2,-0.36263710114501,Protein_PAPPA,0.41294640217930967,Protein_CHL1,11.1875968249336
107,Protein_CRTAC1,0.2927385346473903,Protein_SST,0.3400443644434965,Protein_CST5.1,-0.2888838372494851,Protein_IMPAD1,-0.3624329345256303,Protein_CPN2,0.41277406967180474,Protein_GALNT13,11.1668726275939
108,Protein_CHKB.1,0.2925559776530804,Protein_SV2A,0.3399967569936493,Protein_TREML2,-0.2887895061322743,Protein_QPCTL,-0.36185138606172096,Protein_RPS4X,0.41210424194557493,Protein_QDPR,11.1278491120059
109,Protein_DDR2.1,0.29227591059502034,Protein_CALY.1,0.3386584124119594,Protein_PSMB1,-0.28734666047045465,Protein_B4GALT6,-0.3617034413168301,Protein_MGP,0.40956361986029943,Protein_NBL1,11.12063169512385
110,Protein_CHST1,0.2920695926654804,Protein_EPHA4,0.33751445236290145,Protein_S100A13,-0.28722595617599467,Protein_MMP8,-0.3616499414913008,Protein_CA6.1,0.4081157423062902,Protein_MFGE8,11.1084689113496
111,Protein_UBE2N,0.29193665961467996,Protein_SCGB1C2,-0.33620554891502996,Protein_SOCS3,-0.28536132707496975,Protein_B3GNT2,-0.3614657445258098,Protein_HIST2H2BE,0.4075896596015598,Protein_CPE,11.09377076251535
112,Protein_YWHAQ.1,0.2904309989427798,Protein_FAM159B.1,0.33620313268787516,Protein_PLBD1,-0.28500409089520007,Protein_YWHAQ.1,-0.3605740243602895,Protein_PRSS1,0.40727537478884557,Protein_NLGN4X,11.0846961952596
113,Protein_TYRO3,0.29035894815388463,Protein_NEGR1.1,0.33567453764898936,Protein_CLEC12A,-0.2836397104614754,Protein_RPS27A,-0.3603044040080645,Protein_C3,0.40504073974245003,Protein_HPX,11.06586920540075
114,Protein_DDR1.2,-0.28942255730301936,Protein_HGFAC.1,-0.3346681159044902,Protein_HAMP,-0.2831911893954153,Protein_CRTAC1,-0.3585964301540896,Protein_DDR1.2,-0.404823457954409,Protein_GPT,11.061934425989701
115,Protein_CRELD1,0.28929997938355045,Protein_HPX,-0.33421091731934993,Protein_SFTPD,-0.28206742406015994,Protein_HS3ST1,-0.35855336145645467,Protein_CFHR1,0.40429984508887484,Protein_TGFBR3,11.060250945137149
